,R1,R2,R3
S001,,,
S002,0.645218177138032,,0.9195228458624534
S003,0.34097933098461924,,
S004,1.1250331223816006,,
S005,0.6920618156049165,,
S006,0.46917148086868127,,
S007,0.5837159592287147,,
S008,0.48427060855374887,0.9072900419089821,
S009,0.8168927743809048,0.6927471520063986,
S010,1.776197234094799,,
S011,0.41360415270376116,,
S012,0.527930762594783,0.8178455083279299,
S013,1.2463770829129468,,
S014,0.6825685595620626,1.6317358969570557,
S015,1.3164378469994173,,
S016,2.1902442850075117,,
S017,0.8946460710048767,,
S018,0.9208870277192822,,
S019,0.5967097929787419,1.1996356344066572,
S020,1.8603436101151616,,
S021,1.134927424246438,,
S022,7.832223392075025,,
S023,0.9987803698620811,2.085501696013345,
S024,1.5062470007707707,,
S025,1.0909118681011223,,
S026,3.750466067148976,,
S027,0.6152094834836754,,
S028,0.8840099912039273,,
S029,0.8487150017831393,,
S030,0.7145371537628311,,
S031,1.7284574741419043,1.1451019431726719,
S032,0.6020811971503526,,
S033,0.49305330403102987,,
S034,,,
S035,0.6763715494811626,,
S036,0.8015446051471878,,
S037,0.9138359627443915,,
S038,0.7912756586648434,,0.6099658858461192
S039,0.8741265896278503,,
S040,3.9809850970642158,,
S041,0.8489599264128126,,
S042,0.9154594408473871,,
S043,0.909758702616261,,
S044,0.5892818090398217,,
S045,0.8425375810124592,,
S046,,,
S047,1.2922304483237392,,
S048,0.8019806480557824,,
S049,0.9658167990957699,,
S050,,,
S051,0.6340339216893912,,0.5895081982659921
S052,0.6001014776886192,,
S053,0.8446754546231429,,
S054,,,
S055,0.5742999135033207,,
S056,1.090672955877685,,
S057,1.203447269433955,,
S058,0.5381214362123619,,
S059,,,
S060,0.9254941733453732,,
S061,,,
S062,2.0846447596512885,,
S063,0.37484395759541156,,
S064,,,
S065,1.270731663288197,,
S066,0.5624296914555058,,
S067,0.9663889762463655,,
S068,,,
S069,0.4845478188506952,,0.6283213057966138
S070,0.8951760415538421,,
S071,,,
S072,0.6119722467521178,1.0036444045511774,
S073,2.835707028987113,,
S074,0.7391444183818727,,
S075,1.441674048104386,,0.9345076986129944
S076,0.6053770897896624,,
S077,1.8361988798233952,,
S078,0.628098912671554,,
S079,3.3044440738145093,,1.0831458898086068
S080,0.9125604599882948,,
S081,,,
S082,1.128101542521676,,
S083,0.7362148625493341,,
S084,,,
S085,0.6128659964749786,,
S086,0.8747488336172676,,
S087,1.5542702849695853,,
S088,1.404349989819822,,
S089,0.7990287906701045,,0.7360277356942463
S090,2.3546074955188874,,
S091,1.058528883157527,,
S092,0.7643582716455615,,0.6853491108344489
S093,1.9880081567892482,,
S094,1.7514644001370407,,
S095,1.278838635604373,,0.5754903245671709
S096,1.2400206686751019,,
S097,0.6913940002160639,,2.5462162426081454
S098,0.50130158960314,,
S099,0.6882641984414253,0.690097000541116,
S100,1.9144579780836246,1.1271971666614915,
S101,1.7823122652909706,,
S102,0.9103637154687302,,0.6339854372041581
S103,1.4097415473097836,0.6365380278636661,
S104,2.0711297557618247,,
S105,1.5901287355943612,,
S106,0.5373394954173536,,
S107,0.9306601867221638,,
S108,2.1006655850178277,,
S109,0.7225495066972287,,
S110,,,
S111,0.8597315436249403,,
S112,0.42438694926293163,1.033682645738093,
S113,0.7527101764145255,,
S114,0.935341995250168,,
S115,0.7671675343004686,,
S116,0.639313456554167,,
S117,0.6203151386125578,,
S118,1.0248879835600961,0.4852341808757158,
S119,1.2941073665919736,,
S120,1.3331094068419134,,
S121,0.6979088553614272,,
S122,0.504099005160875,,
S123,5.027648223478996,,
S124,1.110558291899785,,
S125,2.4150543648605245,,
S126,,,
S127,0.8908997085891075,,
S128,1.3305020601262003,,
S129,,,
S130,0.6374985265685165,0.6588222405027073,
S131,0.8248406623878269,,
S132,0.8625679183819184,,
S133,1.061794003810703,,
S134,4.125121377155956,,
S135,1.8215470126389206,,
S136,0.80878433589554,,
S137,1.7786379836394104,2.1768132312044117,0.8366272288671937
S138,2.02586874831008,1.1991014631380572,
S139,1.7658174349432367,,
S140,1.9832311021239808,,
S141,0.7670743917682692,,
S142,2.966790797822239,,
S143,,,
S144,0.8609420842068465,,
S145,4.2405159933690495,1.683303034886788,
S146,1.1401694473320334,,
S147,1.2393222540339837,0.9913983545902845,1.8491381408513021
S148,0.842259639157809,,
S149,2.2039298009522303,,
S150,0.753549405232999,,
S151,0.7319391841561947,,1.3344076512113663
S152,0.6971081715315492,,
S153,0.6285801416014308,,
