VRG,PUR,VID,TEX,RAN
61487.8792,165587.5874,38623.9621,48911.9389,99771.987
59259.8581,165007.9492,38575.9619,48308.0293,100271.765
63487.9537,166091.8997,38627.9264,50952.0156,100223.8033
61155.9266,165187.6845,38575.9223,51727.8898,99139.827
58824.0437,163572.1853,38647.9895,35860.1005,102288.144
60464.1332,165036.2741,38576.0338,28920.0382,98996.1507
57980.0466,163968.2346,38636.0606,39092.1908,97164.2117
61216.0687,166528.2221,38576.0411,39104.0352,98592.1203
58068.0842,163804.1643,38596.1784,43152.0063,99555.9582
59328.1898,164360.1597,38588.1779,48604.0388,101208.1372
60615.9545,165319.7455,38679.8997,42971.9266,97919.8813
59156.0195,164783.7171,38575.9309,45347.7864,100559.9752
60323.9325,164379.7087,38679.955,44892.0215,100719.8263
60347.8561,165815.6545,38587.8827,48635.8945,100663.7295
60087.9947,164192.0383,38692.0376,54440.1454,101112.1005
63003.9731,166752.0786,38587.9986,39563.924,99004.1587
59636.013,164732.182,38668.0295,56004.1296,100032.032
61044.0878,165312.1897,38588.0489,48880.0767,99872.1242
60372.0608,166136.2344,38612.0295,37388.035,99260.1104
60548.1078,165164.2654,38588.0839,45252.1155,97228.0543
59456.0519,164416.1549,38691.9902,63172.1937,100368.0146
56064.1504,165372.0279,38580.0344,50015.9982,97651.9585
59436.1172,163528.2331,38604.0074,55980.1716,100360.0835
59616.0773,164012.0742,38584.0254,41984.0792,100092.0799
60364.1784,165204.2504,38620.0303,43800.0639,98572.0446
57948.0817,164040.2488,38596.0469,42480.0355,101204.0429
58608.0344,164016.2194,38616.1619,50507.9552,98624.0404
59940.2219,163992.2435,38576.0757,44248.1246,100648.0401
59488.1328,165172.0457,38608.1239,89360.0807,100120.0793
57064.0643,164148.1248,38656.0961,68884.1465,100392.1218
63299.9697,166323.9571,38660.0622,46276.029,98792.082
59012.0138,164028.0365,38587.9945,59588.0896,100099.9677
59420.0595,165039.9538,38612.0808,51459.9835,99164.0291
60544.0117,164827.9734,38587.9817,56440.0742,98448.0797
60088.1187,164528.4464,38668.1244,69836.1318,96824.2777
57036.0887,162484.4461,38584.2597,80960.1999,99824.3352
62716.116,166456.3853,38632.0779,56356.1233,101652.342
57428.1393,163604.4164,38572.1477,50416.0911,100244.3347
60892.1841,164908.3403,38672.2026,47080.147,98936.3217
59332.2301,163960.4205,38588.0317,39992.1233,98480.3379
60896.1093,164484.3508,38600.0911,52500.1967,100032.2006
61856.1875,165124.4158,38576.0655,43139.9957,98716.2193
60648.0168,164516.1181,38680.1668,41832.1557,99708.0388
