,R1,R2,R3
S001,,,
S002,0.017655115167126763,,0.02276457861749851
S003,0.0160561989698733,,
S004,0.07780025688544366,,
S005,0.12616467811520898,,
S006,0.01550567076751271,,
S007,0.021405434640571906,,
S008,0.019789039974986027,0.04134853983871656,
S009,0.0214075776567317,0.48559926604407877,
S010,0.028444028125078367,,
S011,0.018418925914733625,,
S012,0.02146125844889606,0.02078875271744836,
S013,0.13103502394730976,,
S014,0.023726740637119402,1.1137548868022704,
S015,0.18732116522980646,,
S016,0.6921611135612468,,
S017,0.02789898263080598,,
S018,0.017319935513548566,,
S019,0.01843701050975898,0.0480785995020284,
S020,0.023685368256868598,,
S021,0.12734228481354978,,
S022,3.2151310075065984,,
S023,0.024716681837855373,0.08189272780649025,
S024,0.03936551295940548,,
S025,0.042796646729991214,,
S026,0.7388708749049654,,
S027,0.014978702467732105,,
S028,0.03999808218762644,,
S029,0.02288349978880188,,
S030,0.037674811367477204,,
S031,0.0865289821187003,0.044316738944260345,
S032,0.029870343957190477,,
S033,0.01983117775193935,,
S034,,,
S035,0.033347328633595144,,
S036,0.03208774826288754,,
S037,0.024992539901672987,,
S038,0.0775466943143183,,0.013472957862927511
S039,0.03971399299317596,,
S040,0.20261400233946772,,
S041,0.01833533330440998,,
S042,0.048636796407179286,,
S043,0.07642046561081596,,
S044,0.03697543210915476,,
S045,0.013268361581717517,,
S046,,,
S047,0.04387613074499981,,
S048,0.026138569984439163,,
S049,0.027592879535329788,,
S050,,,
S051,0.015692415100423244,,0.013402030354043793
S052,0.031910356853515856,,
S053,0.3013773594022751,,
S054,,,
S055,0.016222737418582406,,
S056,0.08207926461291612,,
S057,0.047333491220101095,,
S058,0.01991841494139889,,
S059,,,
S060,0.27702628156408504,,
S061,,,
S062,0.31196341121670185,,
S063,0.01682558664614934,,
S064,,,
S065,0.03645127346694221,,
S066,0.014691360429311486,,
S067,0.02712262967766793,,
S068,,,
S069,0.013351739756015283,,0.01203368218752654
S070,0.02235711407938071,,
S071,,,
S072,0.03138188006055343,0.01608546185016398,
S073,0.02120245618563599,,
S074,0.01748046582516068,,
S075,0.08959732756151087,,0.029881948762088793
S076,0.06532436259094121,,
S077,0.038299742472117745,,
S078,0.10065075630677763,,
S079,0.03653744139225594,,0.05205790061288231
S080,0.05263019723867106,,
S081,,,
S082,0.04189783548954667,,
S083,0.017223810928551044,,
S084,,,
S085,0.12684180073821827,,
S086,0.07009025596913533,,
S087,0.044560117513667494,,
S088,0.03235051468270087,,
S089,0.019565571267987625,,0.02520575892524346
S090,0.23177967341281785,,
S091,0.1265041589406351,,
S092,0.011545304121229108,,0.014353064469002131
S093,0.1132881737452092,,
S094,0.060056694948573366,,
S095,0.03817925345538405,,0.028125094055813083
S096,0.025851486142653268,,
S097,0.44473057532705085,,0.06271914903369878
S098,0.018137855945391794,,
S099,0.014153646165853361,0.022621048941844336,
